genus Stelis	genus of small caespitose orchids of tropical America
genus Stellaria	common chickweed; stitchwort
genus Stenocarpus	small genus of timber trees; Australia to Malaysia
genus Stenochlaena	large tropical ferns: some epiphytic climbers and some terrestrial bog ferns; native to Africa; Asia; Australasia
genus Stenopelmatus	sand crickets
genus Stenopterygius	a reptile genus of Ichthyosauridae
genus Stenotaphrum	lawn grasses
genus Stenotomus	scups
genus Stenotus	genus of western North American low evergreen shrubs growing in dense tufts
genus Stentor	trumpet-shaped protozoa with a ciliated spiral feeding funnel
genus Stephanomeria	malheur wire lettuce
genus Stephanotis	genus of Old World tropical woody vines
genus Stercorarius	type genus of the Stercorariidae: jaegers
genus Sterculia	type genus of the Sterculiaceae: deciduous or evergreen trees of Old and New World tropics and subtropics
genus Sterna	a genus of Sterninae
genus Sternotherus	musk turtles
genus Stevia	genus of shrubs and herbs of tropical and warm Americas
genus Sticherus	umbrella ferns; warm regions of Australia and New Zealand
genus Stictomys	mountain pacas
genus Stictopelia	a genus of small, long-tailed doves in the family Columbidae
genus Stizolobium	genus of tropical herbs and woody vines having trifoliate leaves and showy flowers in axillary clusters
genus Stizostedion	pike-perches
genus Stokesia	one species: stokes' aster
genus Storeria	a genus of Colubridae containing three species of brown snake and the redbelly snake (Storeria)
genus Strekelia	a monocotyledonous genus of the amaryllis family
genus Strelitzia	small genus of large perennial evergreen herbs having leaves resembling those of banana plants; sometimes placed in family Musaceae
genus Strepera	bell magpies
genus Strepsiceros	African antelopes: kudus, bongos, nyalas, bushbucks
genus Streptocarpus	large genus of usually stemless African or Asian herbs: Cape primrose
genus Streptococcus	a genus of spherical, gram-positive bacteria, for which cell division occurs across a single axis, leading them to grow in chains or pairs, containing over 50 species (Streptococcus)
genus Streptomyces	type genus of the family Streptomycetaceae
genus Streptopelia	turtledoves
genus Streptosolen	one species: marmalade bush
genus Strix	owls lacking ear tufts
genus Strobilomyces	fungi similar to Boletus but with a shaggy scaly cap
genus Strombus	type genus of the family Strombidae
genus Strongylodon	genus of Polynesian or southeastern Asian shrubs or vines
genus Strophanthus	genus of tropical Asiatic and African shrubs and woody vines and small trees
genus Stropharia	genus of gill fungi with brown spores that is closely related to Agaricus; here placed in its own family Strophariaceae
genus Struthio	type genus of the Struthionidae: African ostriches
genus Struthiomimus	small toothless saurischian dinosaurs; later Cretaceous period in Canada
genus Strymon	large and widely distributed genus of hairstreak butterflies
genus Sturnella	a genus of passerine birds including the meadowlarks
genus Sturnus	type genus of the Sturnidae: common starlings
genus Stylomecon	one species: wind poppy
genus Stylophorum	wood poppies
genus Styphelia	Australian heathlike shrubs
genus Styracosaurus	genus of horned dinosaurs
genus Styrax	deciduous or evergreen shrubs and small trees
genus Subularia	small genus of herbs of north temperate regions and mountains of tropical Africa
genus Suillus	a genus of fungi belonging to the family Boletaceae with species in the genus being associated with trees in the pine family, and being mostly distributed in temperate locations in the Northern Hemisphere (Suillus)
genus Suksdorfia	small genus of rhizomatous herbs of northwestern America and South America
genus Sula	type genus of the Sulidae
genus Sundacarpus	a genus of conifers containing Sundacarpus amarus (Sundacarpus)
genus Suricata	meerkats
genus Surnia	a genus of hawk-like owls
genus Sus	type genus of the Suidae
genus Swainsona	a genus of Australian herbs and subshrubs: darling peas
genus Swertia	genus of herbs of mountains of North America and Eurasia and Africa
genus Swietinia	tropical American mahogany trees
genus Sylvilagus	North American rabbits
genus Symphalangus	used in some classifications for the siamangs
genus Symphoricarpos	deciduous shrubs of North America and Central America and China
genus Symphytum	comfrey
genus Symplocarpus	one species: skunk cabbage
genus Symplocus	type and sole genus of Symplocaceae including sweetleaf
genus Synagrops	a genus of Serranidae, containing the temperate ocean-basses native to the Indian, Atlantic, and Pacific Oceans (Synagrops)
genus Synanceja	stonefishes
genus Synaptomys	bog lemmings
genus Syncerus	Cape buffalo
genus Synchytrium	simple parasitic fungi including pond scum parasites
genus Synercus	Cape buffalo
genus Syngnathus	type genus of the family Syngnathidae
genus Syngonium	epiphytic or terrestrial climbing shrubs of Central and South America; used as ornamental houseplants for their velvety foliage
genus Syringa	genus of Old World shrubs or low trees having fragrant flowers in showy panicles: lilacs
genus Syrrhaptes	a genus of Pteroclididae
genus Syzygium	a tropical evergreen tree of the myrtle family native to the East Indies but cultivated elsewhere
genus Tabernaemontana	evergreen tropical trees and shrubs with milky sap
genus Tacca	genus of tropical plants with creeping rootstocks and small umbellate flowers
genus Tachyglossus	type genus of the family Tachyglossidae
genus Tachypleus	a genus of Limulidae
genus Tadarida	freetail bats
genus Tadorna	sheldrakes
genus Taenia	type genus of the family Taeniidae: tapeworms
genus Tagetes	marigolds
genus Talinum	genus of mainly American more-or-less succulent herbs
genus Tamandua	lesser anteater
genus Tamarindus	widely cultivated tropical trees originally of Africa
genus Tamarix	genus of deciduous shrubs or small trees of eastern Mediterranean regions and tropical Asia
genus Tamias	chipmunks of eastern North America
genus Tamiasciurus	American red squirrels
genus Tamus	a genus of tuberous vines of the family Dioscoreaceae; has twining stems and heart-shaped leaves and axillary racemes
genus Tanacetum	a large genus of plants resembling chrysanthemums; comprises some plants often included in other genera especially genus Chrysanthemum
genus Tantilla	black-headed snakes
genus Tapirus	type genus of the Tapiridae
genus Taraktagenos	medium to large Indonesian and Malaysian trees
genus Taraktogenos	medium to large Indonesian and Malaysian trees
genus Taraxacum	an asterid dicot genus of the family Compositae including dandelions
genus Taricha	Pacific newts
genus Tarpon	tarpons
genus Tarrietia	small genus of east Asian and Australian timber trees
genus Tarsius	type and sole genus of the family Tarsiidae
genus Taurotragus	elands (Taurotragus)
genus Tautoga	tautogs
genus Tautogolabrus	a genus of Labridae, containing the bergall (Tautogolabrus)
genus Taxidea	in some classifications considered a genus of subfamily Melinae
genus Taxodium	bald cypress; swamp cypress
genus Taxus	yews
genus Tayassu	type genus of the Tayassuidae
genus Tectaria	terrestrial or epilithic ferns of tropical rain forests
genus Tectona	small genus of southeastern Asian tropics: teak
genus Telanthera	used in former classifications systems; now included in genus Alternanthera
genus Tellima	genus of hardy perennials with palmately lobed leaves and long racemes of small nodding five-petaled flowers; western North America
genus Telopea	waratahs (Telopea)
genus Templetonia	genus of Australian shrubs or subshrubs: coral bush
genus Tenrec	type genus of the family Tenrecidae: tenrecs
genus Tephrosia	genus of tropical and subtropical herbs or shrubs: hoary peas
genus Terebella	type genus of Terebellidae; tube-forming marine polychete worms with many filamentous tentacles
genus Teredo	type genus of the family Teredinidae
genus Termes	type genus of the Termitidae
genus Terrapene	box turtles
genus Terrietia	small genus of timber trees of eastern Asia, Australasia and tropical Africa that form large buttresses
genus Testudo	type genus of the Testudinidae
genus Tethus	type genus of the family Aplysiidae
genus Tetraclinis	sandarac tree
genus Tetragonia	New Zealand spinach
genus Tetragonurus	a genus of squaretails
genus Tetrahymena	protozoa having four membranous ciliary organelles
genus Tetraneuris	genus of hairy yellow-flowered plants of the western United States
genus Tetrao	type genus of the Tetraonidae: capercaillies
genus Tetrapturus	a genus of Istiophoridae
genus Teucrium	large widely distributed genus of perennial herbs or shrubs or subshrubs; native to Mediterranean region to western Asia
genus Thalarctos	polar bears; in some classifications not a separate genus from Ursus
genus Thalassoma	a genus of Labridae containing 28 species of wrasse (Thalassoma)
genus Thalictrum	widely distributed genus of perennial herbs: meadow rue
genus Thamnophilus	a genus of Formicariidae, containing the antshrikes (Thamnophilus)
genus Thamnophis	garter snakes
genus Thelypteris	marsh ferns: in some classification systems considered part of genus Dryopteris in family Dryopteridaceae
genus Theobroma	cacao plants
genus Thermobia	a genus of Lepismatidae
genus Thermopsis	genus of American and Asiatic showy rhizomatous herbs: bush peas
genus Thespesia	a small genus of tropical trees including the portia tree
genus Thevetia	genus of poisonous tropical American evergreen shrubs and trees having entire leaves and large cymose flowers
genus Thielavia	genus of fungi having spherical brown perithecia and some conidia borne in chains; cause root rot
genus Thiobacillus	a genus of motile rod-shaped gram-negative bacteria that metabolizes sulphur (Thiobacillus)
genus Thlaspi	herbs of temperate regions: pennycress
genus Thomomys	western pocket gophers
genus Threskiornis	type genus of the Threskiornithidae
genus Thrinax	small to medium-sized fan palms
genus Thrips	type genus of the Thripidae
genus Thryothorus	Carolina wrens
genus Thuja	red cedar
genus Thujopsis	one species; has close similarity to genus Thuja
genus Thunbergia	a genus of herbs or vines of the family Acanthaceae
genus Thunnus	tunas: warm-blooded fishes
genus Thylacinus	Tasmanian wolf
genus Thylogale	pademelons
genus Thymus	large genus of Old World mints: thyme
genus Thyrsopteris	a tree fern genus containing Thyrsopteris elegans (Thyrsopteris)
genus Thysanocarpus	small genus of herbs of upland regions of the Pacific coast of North America
genus Tiarella	small genus of North American herbs having mostly basal leaves and slender racemes of delicate white flowers
genus Tibicen	harvest flies
genus Tichodroma	wall creepers; in some classifications placed in family Sittidae
genus Tilapia	a genus of Cichlidae
genus Tilia	deciduous trees with smooth usually silver-grey bark of North America and Europe and Asia: lime trees, lindens, basswood
genus Tillandsia	large genus of epiphytic or terrestrial sparse-rooting tropical plants usually forming dense clumps or pendant masses
genus Tilletia	a genus of fungi belonging to the family Tilletiaceae
genus Timalia	type genus of the Timaliidae
genus Tinca	tench
